id	date	owner_id	from_id	likes	reposts
3788	1390982116	-47535294	589940631	32	9
3787	1390980165	-47535294	589940631	20	9
3782	1390923180	-47535294	194378745	32	12
3781	1390922849	-47535294	709327473	24	12
3779	1390913357	-47535294	194378745	28	9
3778	1390913049	-47535294	709327473	26	12
3775	1390903163	-47535294	194378745	21	11
3774	1390903146	-47535294	194378745	22	12
3773	1390901978	-47535294	589940631	30	9
3752	1390894103	-47535294	10731911	41	8
3751	1390893975	-47535294	194378745	49	20
3750	1390891748	-47535294	709327473	19	9
3749	1390891727	-47535294	194378745	21	6
3745	1390823305	-47535294	194378745	32	9
3742	1390811244	-47535294	194378745	30	7
3740	1390809289	-47535294	194378745	28	6
3739	1390801872	-47535294	589940631	31	8
3738	1390801258	-47535294	194378745	37	8
3729	1390731489	-47535294	10731911	35	8
3728	1390722743	-47535294	10731911	34	6
3727	1390721031	-47535294	10731911	31	4
3725	1390666477	-47535294	194378745	24	4
3724	1390666386	-47535294	589940631	16	5
3723	1390561946	-47535294	589940631	20	4
3722	1390561859	-47535294	589940631	26	5
3720	1390561755	-47535294	194378745	24	5
3718	1390555101	-47535294	194378745	34	5
3716	1390483258	-47535294	-47535294	34	4
3715	1390478499	-47535294	709327473	26	4
3711	1390466691	-47535294	589940631	17	7
3710	1390424135	-47535294	10731911	41	10
3707	1390386004	-47535294	194378745	42	5
3706	1390385166	-47535294	194378745	19	7
3705	1390384437	-47535294	589940631	20	8
3704	1390372283	-47535294	709327473	20	9
3697	1390297693	-47535294	589940631	19	7
3696	1390297162	-47535294	709327473	27	6
3690	1390158651	-47535294	709327473	23	8
3687	1390115247	-47535294	194378745	24	11
3681	1389991555	-47535294	709327473	35	19
3619	1389944282	-47535294	194378745	45	11
3618	1389941648	-47535294	589940631	47	9
3617	1389940685	-47535294	-47535294	61	12
3616	1389888828	-47535294	194378745	41	12
3615	1389871452	-47535294	194378745	39	10
3614	1389857918	-47535294	709327473	50	10
3613	1389855980	-47535294	589940631	40	10
3612	1389853900	-47535294	174799201	44	9
